Time [s],Channel 0,Channel 1,SDA_O,SDA_T,SCL_O,SCL_T,ena,busy
-2.108037792,1,1,0,1,1,1,0,0
-2.108015208,1,1,0,1,0,1,0,0
-2.107973500,1,1,0,1,1,1,0,0
-2.107931833,1,1,0,1,0,1,0,0
-2.107890167,1,1,0,1,1,1,0,0
-2.107848458,1,1,0,1,0,1,0,0
-2.107806792,1,1,0,1,1,1,0,0
-2.107765083,1,1,0,1,0,1,0,0
-2.107723417,1,1,0,1,1,1,0,0
-2.107681750,1,1,0,1,0,1,0,0
-2.107640042,1,1,0,1,1,1,0,0
-2.107598375,1,1,0,1,0,1,0,0
-2.107556667,1,1,0,1,1,1,0,0
-2.107515000,1,1,0,1,0,1,0,0
-2.107473333,1,1,0,1,1,1,0,0
-2.107431625,1,1,0,1,0,1,0,0
-2.107389958,1,1,0,1,1,1,0,0
-2.107348292,1,1,0,1,0,1,0,0
-2.107306583,1,1,0,1,1,1,0,0
-2.107264917,1,1,0,1,0,1,0,0
-2.107223208,1,1,0,1,1,1,0,0
-2.107181542,1,1,0,1,0,1,0,0
-2.107139875,1,1,0,1,1,1,0,0
-2.107098167,1,1,0,1,0,1,0,0
-2.107056500,1,1,0,1,1,1,0,0
-2.107014833,1,1,0,1,0,1,0,0
-2.106973125,1,1,0,1,1,1,0,0
-2.106931458,1,1,0,1,0,1,0,0
-2.106889750,1,1,0,1,1,1,0,0
-2.106848083,1,1,0,1,0,1,0,0
-2.106806417,1,1,0,1,1,1,0,0
-2.106764708,1,1,0,1,0,1,0,0
-2.106723042,1,1,0,1,1,1,0,0
-2.106681333,1,1,0,1,0,1,0,0
-2.106639667,1,1,0,1,1,1,0,0
-2.106598000,1,1,0,1,0,1,0,0
-2.106556292,1,1,0,1,1,1,0,0
-2.106514625,1,1,0,1,0,1,0,0
-2.106472958,1,1,0,1,1,1,0,0
-2.106431250,1,1,0,1,0,1,0,0
-2.106389583,1,1,0,1,1,1,0,0
-2.106347875,1,1,0,1,0,1,0,0
-2.106306208,1,1,0,1,1,1,0,0
-2.106264542,1,1,0,1,0,1,0,0
-2.106222833,1,1,0,1,1,1,0,0
-2.106181167,1,1,0,1,0,1,0,0
-2.106139458,1,1,0,1,1,1,0,0
-2.106097792,1,1,0,1,0,1,0,0
-2.106056125,1,1,0,1,1,1,0,0
-2.106014417,1,1,0,1,0,1,0,0
-2.105972750,1,1,0,1,1,1,0,0
-2.105931083,1,1,0,1,0,1,0,0
-2.105889375,1,1,0,1,1,1,0,0
-2.105847708,1,1,0,1,0,1,0,0
-2.105806000,1,1,0,1,1,1,0,0
-2.105764333,1,1,0,1,0,1,0,0
-2.105722667,1,1,0,1,1,1,0,0
-2.105680958,1,1,0,1,0,1,0,0
-2.105639292,1,1,0,1,1,1,0,0
-2.105597583,1,1,0,1,0,1,0,0
-2.105555917,1,1,0,1,1,1,0,0
-2.105514250,1,1,0,1,0,1,0,0
-2.105472542,1,1,0,1,1,1,0,0
-2.105430875,1,1,0,1,0,1,0,0
-2.105389208,1,1,0,1,1,1,0,0
-2.105347500,1,1,0,1,0,1,0,0
-2.105305833,1,1,0,1,1,1,0,0
-2.105264125,1,1,0,1,0,1,0,0
-2.105222458,1,1,0,1,1,1,0,0
-2.105180792,1,1,0,1,0,1,0,0
-2.105139083,1,1,0,1,1,1,0,0
-2.105097417,1,1,0,1,0,1,0,0
-2.105055750,1,1,0,1,1,1,0,0
-2.105014042,1,1,0,1,0,1,0,0
-2.104972375,1,1,0,1,1,1,0,0
-2.104930667,1,1,0,1,0,1,0,0
-2.104889000,1,1,0,1,1,1,0,0
-2.104847333,1,1,0,1,0,1,0,0
-2.104805625,1,1,0,1,1,1,0,0
-2.104763958,1,1,0,1,0,1,0,0
-2.104722250,1,1,0,1,1,1,0,0
-2.104680583,1,1,0,1,0,1,0,0
-2.104638917,1,1,0,1,1,1,0,0
-2.104597208,1,1,0,1,0,1,0,0
-2.104555542,1,1,0,1,1,1,0,0
-2.104513875,1,1,0,1,0,1,0,0
-2.104472167,1,1,0,1,1,1,0,0
-2.104430500,1,1,0,1,0,1,0,0
-2.104388792,1,1,0,1,1,1,0,0
-2.104347125,1,1,0,1,0,1,0,0
-2.104305458,1,1,0,1,1,1,0,0
-2.104263750,1,1,0,1,0,1,0,0
-2.104222083,1,1,0,1,1,1,0,0
-2.104180375,1,1,0,1,0,1,0,0
-2.104138708,1,1,0,1,1,1,0,0
-2.104097042,1,1,0,1,0,1,0,0
-2.104055333,1,1,0,1,1,1,0,0
-2.104013667,1,1,0,1,0,1,0,0
-2.103972000,1,1,0,1,1,1,0,0
-2.103930292,1,1,0,1,0,1,0,0
-2.103888625,1,1,0,1,1,1,0,0
-2.103846917,1,1,0,1,0,1,0,0
-2.103805250,1,1,0,1,1,1,0,0
-2.103763583,1,1,0,1,0,1,0,0
-2.103721875,1,1,0,1,1,1,0,0
-2.103680208,1,1,0,1,0,1,0,0
-2.103638500,1,1,0,1,1,1,0,0
-2.103596833,1,1,0,1,0,1,0,0
-2.103555167,1,1,0,1,1,1,0,0
-2.103513458,1,1,0,1,0,1,0,0
-2.103471792,1,1,0,1,1,1,0,0
-2.103430125,1,1,0,1,0,1,0,0
-2.103388417,1,1,0,1,1,1,0,0
-2.103346750,1,1,0,1,0,1,0,0
-2.103305042,1,1,0,1,1,1,0,0
-2.103263375,1,1,0,1,0,1,0,0
-2.103221708,1,1,0,1,1,1,0,0
-2.103180000,1,1,0,1,0,1,0,0
-2.103138333,1,1,0,1,1,1,0,0
-2.103096667,1,1,0,1,0,1,0,0
-2.103054958,1,1,0,1,1,1,0,0
-2.103013292,1,1,0,1,0,1,0,0
-2.102971583,1,1,0,1,1,1,0,0
-2.102929917,1,1,0,1,0,1,0,0
-2.102888250,1,1,0,1,1,1,0,0
-2.102846542,1,1,0,1,0,1,0,0
-2.102804875,1,1,0,1,1,1,0,0
-2.102763167,1,1,0,1,0,1,0,0
-2.102721500,1,1,0,1,1,1,0,0
-2.102679833,1,1,0,1,0,1,0,0
-2.102638125,1,1,0,1,1,1,0,0
-2.102596458,1,1,0,1,0,1,0,0
-2.102554792,1,1,0,1,1,1,0,0
-2.102513083,1,1,0,1,0,1,0,0
-2.102471417,1,1,0,1,1,1,0,0
-2.102429708,1,1,0,1,0,1,0,0
-2.102388042,1,1,0,1,1,1,0,0
-2.102346375,1,1,0,1,0,1,0,0
-2.102304667,1,1,0,1,1,1,0,0
-2.102263000,1,1,0,1,0,1,0,0
-2.102221292,1,1,0,1,1,1,0,0
-2.102179625,1,1,0,1,0,1,0,0
-2.102137958,1,1,0,1,1,1,0,0
-2.102096250,1,1,0,1,0,1,0,0
-2.102054583,1,1,0,1,1,1,0,0
-2.102012917,1,1,0,1,0,1,0,0
-2.101971208,1,1,0,1,1,1,0,0
-2.101929542,1,1,0,1,0,1,0,0
-2.101887833,1,1,0,1,1,1,0,0
-2.101846167,1,1,0,1,0,1,0,0
-2.101804500,1,1,0,1,1,1,0,0
